timestamp,vibration_rms,bearing_temp,motor_current,load_pct,run_state,post_repair_grade,hours_to_failure
2026-07-08 00:00:00,2.148,48.58,31.85,72.6,1,A,179.3
2026-07-08 01:00:00,2.098,48.08,30.9,70.2,1,A,178.3
2026-07-08 02:00:00,2.203,48.92,32.39,76.0,1,A,177.3
2026-07-08 03:00:00,2.384,48.86,32.06,77.8,1,A,176.3
2026-07-08 04:00:00,2.239,49.21,32.72,79.7,1,A,175.3
2026-07-08 05:00:00,2.258,49.36,32.62,79.4,1,A,174.3
2026-07-08 06:00:00,2.282,49.0,32.79,79.1,1,A,173.3
2026-07-08 07:00:00,2.361,49.92,32.74,80.6,1,A,172.3
2026-07-08 08:00:00,2.23,48.94,32.87,77.9,1,A,171.3
2026-07-08 09:00:00,2.222,48.18,32.6,77.4,1,A,170.3
2026-07-08 10:00:00,2.333,48.27,32.44,77.5,1,A,169.3
2026-07-08 11:00:00,2.269,48.78,31.86,74.3,1,A,168.3
2026-07-08 12:00:00,2.246,48.41,31.86,73.4,1,A,167.3
2026-07-08 13:00:00,2.139,47.53,30.21,67.0,1,A,166.3
2026-07-08 14:00:00,2.289,47.36,30.93,67.4,1,A,165.3
2026-07-08 15:00:00,2.089,47.52,29.97,63.0,1,A,164.3
2026-07-08 16:00:00,2.221,47.55,30.18,66.5,1,A,163.3
2026-07-08 17:00:00,2.137,47.04,29.82,66.0,1,A,162.3
2026-07-08 18:00:00,2.146,47.44,29.87,62.2,1,A,161.3
2026-07-08 19:00:00,2.134,47.79,29.69,63.4,1,A,160.3
2026-07-08 20:00:00,2.099,47.5,30.12,66.0,1,A,159.3
2026-07-08 21:00:00,2.166,47.28,29.92,64.0,1,A,158.3
2026-07-08 22:00:00,2.223,48.25,30.77,69.0,1,A,157.3
2026-07-08 23:00:00,2.183,47.08,30.26,69.1,1,A,156.3
2026-07-09 00:00:00,2.112,48.15,30.52,69.4,1,A,155.3
2026-07-09 01:00:00,2.344,48.09,31.89,73.3,1,A,154.3
2026-07-09 02:00:00,2.233,47.86,31.61,74.1,1,A,153.3
2026-07-09 03:00:00,2.174,48.96,32.78,79.3,1,A,152.3
2026-07-09 04:00:00,2.177,48.66,32.18,77.7,1,A,151.3
2026-07-09 05:00:00,2.324,49.62,32.74,80.2,1,A,150.3
2026-07-09 06:00:00,2.31,48.75,32.98,78.0,1,A,149.3
2026-07-09 07:00:00,2.365,49.64,32.58,81.4,1,A,148.3
2026-07-09 08:00:00,2.218,48.42,31.83,77.6,1,A,147.3
2026-07-09 09:00:00,2.289,47.98,32.2,78.9,1,A,146.3
2026-07-09 10:00:00,2.347,49.53,33.36,76.6,1,A,145.3
2026-07-09 11:00:00,2.18,47.33,31.99,74.9,1,A,144.3
2026-07-09 12:00:00,2.171,47.72,31.01,70.4,1,A,143.3
2026-07-09 13:00:00,2.237,48.09,30.96,72.1,1,A,142.3
2026-07-09 14:00:00,2.097,47.55,30.74,64.7,1,A,141.3
2026-07-09 15:00:00,2.238,47.48,29.91,66.6,1,A,140.3
2026-07-09 16:00:00,2.06,48.52,29.44,63.1,1,A,139.3
2026-07-09 17:00:00,2.079,48.14,30.42,65.9,1,A,138.3
2026-07-09 18:00:00,2.121,47.17,30.04,63.7,1,A,137.3
2026-07-09 19:00:00,2.022,46.83,29.87,63.4,1,A,136.3
2026-07-09 20:00:00,2.192,47.8,30.8,68.2,1,A,135.3
2026-07-09 21:00:00,2.205,47.71,31.25,69.0,1,A,134.3
2026-07-09 22:00:00,2.309,48.0,30.3,68.9,1,A,133.3
2026-07-09 23:00:00,2.298,48.64,30.42,67.2,1,A,132.3
2026-07-10 00:00:00,2.332,47.55,30.86,71.2,1,A,131.3
2026-07-10 01:00:00,2.233,48.43,31.9,75.4,1,A,130.3
2026-07-10 02:00:00,0.392,33.04,3.19,76.7,0,A,129.3
2026-07-10 03:00:00,0.349,32.66,2.63,73.6,0,A,128.3
2026-07-10 04:00:00,2.259,49.03,31.76,77.2,1,A,127.3
2026-07-10 05:00:00,2.279,48.62,33.16,79.8,1,A,126.3
2026-07-10 06:00:00,2.44,48.81,32.72,81.1,1,A,125.3
2026-07-10 07:00:00,2.331,48.83,32.24,79.3,1,A,124.3
2026-07-10 08:00:00,2.328,49.99,33.39,79.1,1,A,123.3
2026-07-10 09:00:00,2.248,47.74,31.83,76.0,1,A,122.3
2026-07-10 10:00:00,2.376,48.17,31.93,76.6,1,A,121.3
2026-07-10 11:00:00,2.184,47.45,30.75,69.8,1,A,120.3
2026-07-10 12:00:00,2.195,47.14,30.46,70.2,1,A,119.3
2026-07-10 13:00:00,2.147,47.79,32.49,74.2,1,A,118.3
2026-07-10 14:00:00,2.152,48.12,31.82,73.8,1,A,117.3
2026-07-10 15:00:00,2.119,47.86,31.28,69.8,1,A,116.3
2026-07-10 16:00:00,2.121,47.61,29.72,65.9,1,A,115.3
2026-07-10 17:00:00,2.104,47.62,29.66,63.8,1,A,114.3
2026-07-10 18:00:00,2.22,47.67,30.23,64.9,1,A,113.3
2026-07-10 19:00:00,2.133,47.19,30.11,64.4,1,A,112.3
2026-07-10 20:00:00,2.306,48.38,30.23,64.9,1,A,111.3
2026-07-10 21:00:00,2.049,48.18,30.17,64.8,1,A,110.3
2026-07-10 22:00:00,2.048,48.38,30.99,69.0,1,A,109.3
2026-07-10 23:00:00,2.135,47.95,30.61,67.7,1,A,108.3
2026-07-11 00:00:00,2.209,47.99,31.32,71.4,1,A,107.3
2026-07-11 01:00:00,2.079,48.44,32.33,77.0,1,A,106.3
2026-07-11 02:00:00,2.249,47.65,32.32,76.6,1,A,105.3
2026-07-11 03:00:00,2.211,49.32,32.87,81.1,1,A,104.3
2026-07-11 04:00:00,2.221,48.54,33.11,78.8,1,A,103.3
2026-07-11 05:00:00,2.469,49.46,33.14,80.9,1,A,102.3
2026-07-11 06:00:00,2.397,49.49,33.31,83.5,1,A,101.3
2026-07-11 07:00:00,2.263,49.28,32.3,79.9,1,A,100.3
2026-07-11 08:00:00,2.311,49.43,33.19,80.5,1,A,99.3
2026-07-11 09:00:00,2.394,48.12,33.01,81.3,1,A,98.3
2026-07-11 10:00:00,2.202,49.05,31.91,73.7,1,A,97.3
2026-07-11 11:00:00,2.151,48.23,30.99,72.7,1,A,96.3
2026-07-11 12:00:00,2.39,48.95,31.57,70.7,1,A,95.3
2026-07-11 13:00:00,2.336,48.01,30.55,65.3,1,A,94.3
2026-07-11 14:00:00,2.228,48.18,31.69,71.2,1,A,93.3
2026-07-11 15:00:00,2.424,48.04,30.35,63.2,1,A,92.3
2026-07-11 16:00:00,2.391,48.48,30.25,63.9,1,A,91.3
